trip_id,arrival_time,departure_time,stop_id,sequence,pickup_type,drop_off_type
1076966,17:50:00,17:50:00,3192,39,0,0
1076967,17:20:00,17:20:00,3192,39,0,0
1076968,16:50:00,16:50:00,3192,39,0,0
1076969,16:20:00,16:20:00,3192,39,0,0
1076970,15:50:00,15:50:00,3192,39,0,0
1076971,15:20:00,15:20:00,3192,39,0,0
1076972,14:50:00,14:50:00,3192,39,0,0
1076973,14:20:00,14:20:00,3192,39,0,0
1076974,13:47:00,13:47:00,3192,39,0,0
1076975,13:17:00,13:17:00,3192,39,0,0
1076976,12:47:00,12:47:00,3192,39,0,0
1076977,12:17:00,12:17:00,3192,39,0,0
1076978,11:46:00,11:46:00,3192,39,0,0
1076979,11:16:00,11:16:00,3192,39,0,0
1076980,10:46:00,10:46:00,3192,39,0,0
1076981,10:16:00,10:16:00,3192,39,0,0
1076982,9:46:00,9:46:00,3192,39,0,0
1076983,9:16:00,9:16:00,3192,39,0,0
1076984,8:46:00,8:46:00,3192,39,0,0
1076985,8:16:00,8:16:00,3192,39,0,0
1076986,7:46:00,7:46:00,3192,39,0,0
1076987,7:15:00,7:15:00,3192,39,0,0
1076988,6:45:00,6:45:00,3192,39,0,0
1076989,6:15:00,6:15:00,3192,39,0,0
1076990,5:45:00,5:45:00,3192,39,0,0
1076991,15:35:00,15:35:00,3192,39,0,0
1077026,21:18:00,21:18:00,3192,39,0,0
1077027,20:18:00,20:18:00,3192,39,0,0
1077028,19:18:00,19:18:00,3192,39,0,0
1077029,18:33:00,18:33:00,3192,39,0,0
1077030,17:48:00,17:48:00,3192,39,0,0
1077031,17:03:00,17:03:00,3192,39,0,0
1077032,16:18:00,16:18:00,3192,39,0,0
1077033,15:33:00,15:33:00,3192,39,0,0
1077034,14:48:00,14:48:00,3192,39,0,0
1077035,14:03:00,14:03:00,3192,39,0,0
1077036,13:18:00,13:18:00,3192,39,0,0
1077037,12:33:00,12:33:00,3192,39,0,0
1077038,11:48:00,11:48:00,3192,39,0,0
1077039,11:03:00,11:03:00,3192,39,0,0
1077040,10:18:00,10:18:00,3192,39,0,0
1077041,9:33:00,9:33:00,3192,39,0,0
1077042,8:48:00,8:48:00,3192,39,0,0
1077043,7:48:00,7:48:00,3192,39,0,0
1077044,6:48:00,6:48:00,3192,39,0,0
1077064,21:49:00,21:49:00,3192,39,0,0
1077065,20:49:00,20:49:00,3192,39,0,0
1077066,19:49:00,19:49:00,3192,39,0,0
1077067,18:49:00,18:49:00,3192,39,0,0
1077068,18:04:00,18:04:00,3192,39,0,0
1077069,17:19:00,17:19:00,3192,39,0,0
1077070,16:34:00,16:34:00,3192,39,0,0
1077071,15:49:00,15:49:00,3192,39,0,0
1077072,15:04:00,15:04:00,3192,39,0,0
1077073,14:19:00,14:19:00,3192,39,0,0
1077074,13:34:00,13:34:00,3192,39,0,0
1077075,12:49:00,12:49:00,3192,39,0,0
1077076,12:04:00,12:04:00,3192,39,0,0
1077077,11:19:00,11:19:00,3192,39,0,0
1077078,10:34:00,10:34:00,3192,39,0,0
1077079,9:49:00,9:49:00,3192,39,0,0
1077080,8:49:00,8:49:00,3192,39,0,0
1077081,7:49:00,7:49:00,3192,39,0,0
1077403,21:02:00,21:02:00,3192,16,0,0
1077404,20:02:00,20:02:00,3192,16,0,0
1077405,20:32:00,20:32:00,3192,16,0,0
1077406,19:32:00,19:32:00,3192,16,0,0
1077407,19:02:00,19:02:00,3192,16,0,0
1077408,18:32:00,18:32:00,3192,16,0,0
1077409,18:02:00,18:02:00,3192,16,0,0
1077410,17:31:00,17:31:00,3192,16,0,0
1077411,17:01:00,17:01:00,3192,16,0,0
1077412,16:31:00,16:31:00,3192,16,0,0
1077413,16:01:00,16:01:00,3192,16,0,0
1077414,15:31:00,15:31:00,3192,16,0,0
1077415,15:01:00,15:01:00,3192,16,0,0
1077416,14:31:00,14:31:00,3192,16,0,0
1077417,14:01:00,14:01:00,3192,16,0,0
1077418,13:31:00,13:31:00,3192,16,0,0
1077419,13:01:00,13:01:00,3192,16,0,0
1077420,12:31:00,12:31:00,3192,16,0,0
1077421,12:01:00,12:01:00,3192,16,0,0
1077422,11:31:00,11:31:00,3192,16,0,0
1077423,11:01:00,11:01:00,3192,16,0,0
1077424,10:32:00,10:32:00,3192,16,0,0
1077425,10:02:00,10:02:00,3192,16,0,0
1077426,9:32:00,9:32:00,3192,16,0,0
1077427,9:02:00,9:02:00,3192,16,0,0
1077428,8:31:00,8:31:00,3192,16,0,0
1077429,8:01:00,8:01:00,3192,16,0,0
1077430,7:31:00,7:31:00,3192,16,0,0
1077431,7:01:00,7:01:00,3192,16,0,0
1077432,8:16:00,8:16:00,3192,16,0,0
1077452,21:48:00,21:48:00,3192,16,0,0
1077453,20:48:00,20:48:00,3192,16,0,0
1077454,19:48:00,19:48:00,3192,16,0,0
1077455,19:03:00,19:03:00,3192,16,0,0
1077456,18:18:00,18:18:00,3192,16,0,0
1077457,17:33:00,17:33:00,3192,16,0,0
1077458,16:48:00,16:48:00,3192,16,0,0
1077459,16:03:00,16:03:00,3192,16,0,0
1077460,15:18:00,15:18:00,3192,16,0,0
1077461,14:33:00,14:33:00,3192,16,0,0
1077462,13:48:00,13:48:00,3192,16,0,0
1077463,13:03:00,13:03:00,3192,16,0,0
1077464,12:18:00,12:18:00,3192,16,0,0
1077465,11:33:00,11:33:00,3192,16,0,0
1077466,10:48:00,10:48:00,3192,16,0,0
1077467,10:03:00,10:03:00,3192,16,0,0
1077468,9:18:00,9:18:00,3192,16,0,0
1077469,8:18:00,8:18:00,3192,16,0,0
1077470,7:18:00,7:18:00,3192,16,0,0
1077489,21:18:00,21:18:00,3192,16,0,0
1077490,20:18:00,20:18:00,3192,16,0,0
1077491,19:18:00,19:18:00,3192,16,0,0
1077492,18:33:00,18:33:00,3192,16,0,0
1077493,17:48:00,17:48:00,3192,16,0,0
1077494,17:03:00,17:03:00,3192,16,0,0
1077495,16:18:00,16:18:00,3192,16,0,0
1077496,15:33:00,15:33:00,3192,16,0,0
1077497,14:48:00,14:48:00,3192,16,0,0
1077498,14:03:00,14:03:00,3192,16,0,0
1077499,13:18:00,13:18:00,3192,16,0,0
1077500,12:33:00,12:33:00,3192,16,0,0
1077501,11:48:00,11:48:00,3192,16,0,0
1077502,11:03:00,11:03:00,3192,16,0,0
1077503,10:18:00,10:18:00,3192,16,0,0
1077504,9:18:00,9:18:00,3192,16,0,0
1077505,8:18:00,8:18:00,3192,16,0,0
1077506,7:18:00,7:18:00,3192,16,0,0
1076958,21:48:00,21:48:00,3193,40,0,0
1076959,21:18:00,21:18:00,3193,40,0,0
1076960,20:48:00,20:48:00,3193,40,0,0
1076961,20:18:00,20:18:00,3193,40,0,0
1076962,19:48:00,19:48:00,3193,40,0,0
1076963,19:18:00,19:18:00,3193,40,0,0
1076964,18:48:00,18:48:00,3193,40,0,0
1076965,18:18:00,18:18:00,3193,40,0,0
1076966,17:51:00,17:51:00,3193,40,0,0
1076967,17:21:00,17:21:00,3193,40,0,0
1076968,16:51:00,16:51:00,3193,40,0,0
1076969,16:21:00,16:21:00,3193,40,0,0
1076970,15:51:00,15:51:00,3193,40,0,0
1076971,15:21:00,15:21:00,3193,40,0,0
1076972,14:51:00,14:51:00,3193,40,0,0
1076973,14:21:00,14:21:00,3193,40,0,0
1076974,13:49:00,13:49:00,3193,40,0,0
1076975,13:19:00,13:19:00,3193,40,0,0
1076976,12:49:00,12:49:00,3193,40,0,0
1076977,12:19:00,12:19:00,3193,40,0,0
1076978,11:48:00,11:48:00,3193,40,0,0
1076979,11:18:00,11:18:00,3193,40,0,0
1076980,10:48:00,10:48:00,3193,40,0,0
1076981,10:18:00,10:18:00,3193,40,0,0
1076982,9:48:00,9:48:00,3193,40,0,0
1076983,9:18:00,9:18:00,3193,40,0,0
1076984,8:48:00,8:48:00,3193,40,0,0
1076985,8:18:00,8:18:00,3193,40,0,0
1076986,7:48:00,7:48:00,3193,40,0,0
1076987,7:17:00,7:17:00,3193,40,0,0
